,Quarter,County,Price_count,Price_min,Price_mean,Price_max,Price_median,Price_25p,Price_75p,Price_90p,immigrants,private_households,persons_private_households,household_values,investment_country,gdp_growth,gdp_growth_based,gdp_values,population,infliation,infliation_based,unemployment,unemployment_based
73,2010-Q3,Tipperary,143,14000,166652.53146853147,1069986,149779.0,105500.0,183750.0,259400.0,41800.0,58497,158089,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
74,2010-Q3,Waterford,113,7000,188523.61061946902,925000,172000.0,115000.0,225000.0,318000.0,41800.0,42335,112261,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
75,2010-Q3,Westmeath,138,20000,156199.07971014493,820000,139975.0,97962.5,177854.75,270541.8,41800.0,30739,84869,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
76,2010-Q3,Wexford,225,18000,175340.3688888889,1158088,155000.0,120000.0,210000.0,270600.0,41800.0,52652,144349,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
77,2010-Q3,Wicklow,229,15236,301853.3799126638,1700000,252246.0,187500.0,338500.0,500000.0,41800.0,47798,135259,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
78,2010-Q4,Carlow,84,42000,168287.44047619047,545000,149000.0,127754.0,191250.0,258200.00000000003,41800.0,19436,54187,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
79,2010-Q4,Cavan,87,19000,142047.1264367816,638766,130000.0,89500.0,178105.5,226801.40000000002,41800.0,25818,72625,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
80,2010-Q4,Clare,140,25000,173058.19285714286,1890000,155750.0,95000.0,206250.0,301700.0000000001,41800.0,42648,115587,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
81,2010-Q4,Cork,629,10000,226261.08744038155,2350000,205000.0,138000.0,264100.0,366000.00000000023,41800.0,188019,512300,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
82,2010-Q4,Donegal,191,18577,140816.37696335078,715000,125000.0,89500.0,169818.5,246242.0,41800.0,57964,159139,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
83,2010-Q4,Dublin,1697,5715,305706.1791396582,4250000,250000.0,180000.0,350000.0,515000.0,41800.0,90019,263723,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
84,2010-Q4,Galway,264,6000,212099.27272727274,1850000,194000.0,140000.0,250000.0,330277.2,41800.0,27726,70918,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
85,2010-Q4,Kerry,178,8500,176007.52808988764,851380,165000.0,110000.0,220000.0,264300.0,41800.0,53306,140975,112,37763640000,1,3122.115422181557,43756.065,4568000,-1.6,4026.4405210516366,14.6,13917.821204675427
